labels,z,y,x,z_min,z_max,y_min,y_max,x_min,x_max
101,2,485,2082,1,6,435,550,2033,2135
102,3,1399,2016,1,8,1355,1452,1945,2083
103,2,1013,5420,1,5,980,1045,5368,5460
104,2,755,7215,1,6,722,804,7177,7271
105,1,1088,7767,1,3,1057,1119,7755,7784
106,1,2268,8616,1,2,2241,2298,8599,8634
107,3,1831,8251,1,6,1803,1854,8206,8314
108,1,1071,8452,1,2,1038,1112,8408,8502
109,2,4458,6905,1,5,4400,4518,6858,6967
110,3,2534,7287,0,9,2460,2588,7235,7344
111,2,4259,5053,1,5,4215,4306,5023,5093
112,2,3515,3591,1,4,3494,3534,3559,3626
113,0,2418,2943,0,1,2404,2435,2922,2962
114,0,2715,1000,0,1,2692,2740,988,1013
115,0,1710,1193,0,1,1694,1728,1175,1214
116,0,1911,1112,0,1,1893,1929,1095,1130
117,0,2459,585,0,1,2442,2481,567,606
118,1,473,6432,0,5,409,516,6398,6478
119,2,1385,6979,1,4,1371,1399,6952,7015
120,1,2339,4487,1,4,2303,2381,4457,4519
121,3,4227,6491,2,5,4219,4238,6456,6527
122,4,4147,4080,1,9,4087,4207,4021,4152
123,3,1913,7350,1,6,1888,1944,7319,7387
124,3,814,3857,2,7,759,874,3838,3877
125,3,867,4775,2,5,809,922,4740,4808
126,4,1155,5149,2,10,1107,1190,5076,5222
127,2,352,6170,2,3,341,364,6143,6199
128,2,2663,550,2,3,2629,2701,537,561
129,3,1925,2666,2,7,1885,1965,2616,2731
130,4,2042,2738,2,8,2010,2092,2671,2811
131,2,1974,3512,1,4,1953,1997,3481,3540
132,4,1733,4842,2,9,1697,1766,4796,4893
133,4,2637,5113,1,9,2567,2717,5072,5168
134,3,2904,7136,0,9,2798,2997,7055,7228
135,3,3469,7229,2,7,3440,3493,7188,7268
136,4,3454,5235,2,9,3411,3514,5194,5273
137,2,4113,4929,1,5,4062,4160,4904,4957
138,2,4277,4565,2,5,4253,4304,4525,4619
139,4,3868,4127,2,7,3804,3948,4092,4158
140,1,2649,4950,1,4,2620,2672,4929,4973
141,2,3257,540,2,4,3229,3284,511,569
142,2,2909,889,1,4,2875,2951,872,908
143,2,2904,42,2,4,2869,2937,8,76
144,2,2797,460,2,4,2784,2812,419,501
145,4,756,3071,3,9,677,847,3025,3117
146,6,1058,3872,3,12,1017,1308,3245,3995
147,6,1271,3285,4,9,1237,1311,3243,3329
148,4,1403,3713,3,7,1369,1444,3690,3744
149,3,471,3806,2,5,447,498,3779,3831
150,4,932,4724,3,7,911,954,4689,4766
151,3,606,6268,3,6,578,654,6235,6300
152,3,1042,7018,2,7,987,1084,6956,7099
153,3,1247,7006,3,5,1235,1262,6993,7019
154,2,707,7302,0,5,673,753,7269,7343
155,6,1762,7978,4,11,1711,1809,7929,8033
156,3,1877,7661,3,5,1848,1912,7636,7696
157,5,2561,7924,3,8,2510,2627,7883,7962
158,3,2578,8541,2,5,2552,2615,8505,8589
159,2,3588,8024,2,5,3567,3605,7990,8057
160,2,4248,8031,2,4,4238,4259,8003,8061
161,3,4602,7526,3,6,4586,4626,7494,7573
162,8,4539,7506,7,11,4510,4584,7430,7583
163,3,4321,6941,3,6,4256,4388,6887,7023
164,4,4351,6642,3,9,4308,4415,6600,6689
165,3,3822,6738,2,6,3807,3842,6709,6773
166,4,3571,7236,3,7,3542,3605,7206,7268
167,5,3683,7200,4,9,3662,3708,7163,7237
168,3,3506,6425,3,5,3477,3544,6391,6462
169,3,3942,5253,3,5,3918,3974,5238,5266
170,6,3979,5326,6,9,3935,4024,5289,5367
171,9,3919,5017,8,13,3870,3968,4996,5042
172,13,4011,5442,11,17,3981,4056,5381,5513
173,2,3202,4448,1,5,3149,3252,4412,4495
174,10,3119,4378,6,15,3017,3237,4309,4438
175,3,2945,4132,2,5,2911,2991,4106,4161
176,4,2799,3572,0,10,2717,2875,3545,3596
177,2,2563,3790,1,5,2522,2596,3742,3830
178,3,2504,4217,2,5,2475,2533,4179,4246
179,5,2544,4071,4,8,2511,2585,4053,4104
180,4,2417,3275,2,8,2383,2442,3226,3344
181,7,1596,717,6,10,1549,1652,655,785
182,7,1725,824,7,9,1694,1750,781,858
183,7,1767,1129,7,9,1739,1799,1107,1158
184,8,1349,1514,8,11,1328,1376,1461,1565
185,4,1886,1009,3,6,1863,1927,968,1046
186,6,2107,766,4,9,2059,2148,702,827
187,2,2624,327,2,4,2590,2654,289,367
188,2,2843,233,2,4,2804,2891,201,285
189,2,3057,345,2,4,3032,3086,325,368
190,3,3072,434,3,4,3046,3099,425,447
192,4,2092,4937,3,7,2050,2118,4865,5007
193,3,3596,5897,3,5,3539,3644,5854,5939
194,7,3604,5791,5,10,3555,3651,5756,5835
195,4,3075,6277,3,6,3044,3111,6262,6295
196,6,3063,6433,4,10,3002,3114,6366,6485
197,3,3089,6820,3,5,3066,3118,6785,6859
198,5,2534,7550,3,9,2504,2579,7502,7600
199,3,1531,5855,2,6,1500,1564,5805,5915
200,3,1917,1952,2,6,1880,1963,1933,1974
201,4,1714,1913,3,8,1681,1754,1873,1958
202,6,1770,2132,4,9,1749,1797,2094,2168
203,5,2226,2184,4,7,2191,2259,2132,2236
204,3,2884,5403,3,5,2870,2899,5374,5434
205,6,2691,5392,4,9,2647,2733,5334,5446
206,7,2856,5832,3,13,2825,2899,5755,5923
207,2,3215,5234,2,4,3198,3238,5218,5250
208,4,1536,6310,4,7,1501,1578,6264,6354
209,5,868,3154,4,7,827,908,3119,3191
210,5,743,3942,5,8,700,783,3903,3979
211,5,1340,4494,4,8,1297,1382,4474,4530
212,5,1583,4505,4,7,1556,1603,4443,4586
213,4,1360,3756,3,7,1328,1397,3727,3788
214,4,1581,5975,4,6,1541,1622,5928,6027
215,3,728,6923,3,5,702,755,6868,6977
216,5,1018,8399,4,7,984,1040,8355,8451
217,4,1406,8529,4,6,1373,1443,8516,8546
218,5,2290,8582,4,8,2251,2334,8539,8627
219,4,4378,5477,2,8,4292,4480,5441,5512
220,5,3864,4586,4,9,3816,3910,4522,4647
221,7,2266,5185,4,13,2202,2361,5134,5242
222,5,1909,4655,3,9,1864,1954,4565,4756
223,4,2010,8616,4,5,2000,2021,8592,8643
224,6,3040,4642,5,8,3005,3077,4625,4660
225,5,1870,2311,4,8,1840,1902,2284,2340
226,6,1881,1634,4,10,1828,1925,1609,1667
227,3,2557,1389,3,5,2543,2574,1371,1412
228,5,2012,3742,4,9,1935,2069,3695,3785
229,7,2115,3860,6,11,2073,2157,3818,3898
230,6,2009,4372,5,9,1988,2029,4334,4412
231,6,3678,4560,4,8,3614,3772,4493,4629
232,9,2783,6731,5,15,2721,2828,6690,6780
233,8,1180,2342,5,13,1106,1259,2284,2418
234,6,1385,1709,5,9,1360,1408,1675,1740
235,3,995,1302,3,6,958,1032,1266,1334
236,5,771,3553,5,8,760,788,3533,3578
237,7,1184,5669,5,12,1138,1233,5632,5718
238,7,1655,5427,5,11,1604,1712,5386,5467
239,9,1533,5333,7,13,1513,1565,5280,5403
240,6,2309,5384,5,8,2254,2379,5334,5436
241,5,1075,5934,5,7,1065,1090,5902,5966
242,5,731,6393,5,7,700,764,6363,6430
243,3,2432,742,3,6,2404,2464,694,794
244,4,2587,1466,4,6,2574,2604,1447,1484
245,6,2091,1858,5,9,2056,2138,1833,1888
246,4,1822,3547,3,8,1781,1847,3464,3598
247,5,2555,4854,4,8,2525,2580,4824,4891
248,5,2488,4761,5,7,2477,2502,4730,4795
249,6,3032,7344,5,9,3010,3074,7306,7394
250,5,4591,8354,5,7,4547,4634,8330,8380
251,6,4705,7880,6,8,4685,4726,7849,7920
252,5,4517,7214,4,9,4470,4580,7176,7259
253,6,4557,5637,5,9,4525,4590,5604,5661
254,4,4491,4619,4,7,4471,4529,4593,4652
255,6,3353,3474,4,9,3318,3384,3436,3509
256,8,3430,3809,8,10,3407,3451,3776,3839
257,4,4327,4964,4,7,4286,4366,4925,5021
258,4,2653,1193,4,6,2613,2692,1158,1232
259,5,2844,6427,5,8,2806,2892,6390,6467
260,5,2217,6734,5,7,2175,2252,6699,6765
261,7,2174,6812,6,10,2141,2214,6778,6843
262,5,1913,6492,5,7,1899,1928,6463,6521
263,8,1928,6628,7,10,1899,1955,6592,6671
264,8,706,3753,6,12,644,774,3718,3790
265,8,905,4034,6,11,861,963,3951,4090
266,7,803,4568,6,10,732,864,4512,4640
267,8,772,4961,8,11,736,816,4931,4995
268,6,930,5347,6,8,892,971,5316,5374
269,8,956,7825,7,10,923,985,7781,7877
270,7,2036,4659,6,10,2015,2065,4609,4704
271,8,2072,3128,6,12,2043,2103,3063,3208
272,9,1878,2423,6,13,1835,1911,2387,2465
273,8,2367,869,6,12,2326,2407,827,912
274,5,2942,843,5,7,2919,2968,828,862
275,7,2064,1424,6,9,2030,2095,1407,1444
276,8,2175,1385,7,10,2147,2199,1360,1407
277,5,2093,8072,5,8,2059,2129,8031,8117
278,8,2107,8273,8,11,2078,2137,8237,8310
279,7,1478,8051,6,10,1456,1498,8019,8086
280,7,1687,8202,6,10,1649,1733,8170,8234
281,8,1552,7844,8,11,1507,1598,7818,7873
282,7,1476,6794,7,10,1441,1504,6776,6818
283,5,1125,8091,5,7,1100,1153,8067,8117
284,8,1461,2160,7,11,1445,1477,2118,2208
285,6,652,1903,6,9,630,677,1870,1929
286,9,2456,5729,9,12,2399,2506,5662,5809
287,8,3346,6699,8,11,3300,3390,6674,6724
288,6,2656,6390,6,8,2621,2698,6362,6431
289,8,1102,1533,7,10,1076,1132,1511,1563
290,7,1380,3412,7,10,1345,1413,3394,3434
291,8,1965,3939,7,10,1928,1992,3901,3982
292,7,1025,5524,6,10,983,1069,5412,5669
293,7,1205,5847,7,10,1186,1233,5803,5883
294,8,1263,5585,7,12,1232,1293,5538,5640
295,7,2225,8691,7,8,2193,2253,8655,8734
296,7,2361,8194,7,10,2342,2388,8165,8223
297,8,2505,8022,8,11,2474,2543,7976,8070
298,7,4889,8344,7,8,4868,4912,8328,8361
299,7,3212,5338,6,11,3178,3250,5244,5453
300,8,2903,4833,6,11,2824,2999,4746,4920
301,8,3110,3783,7,10,3070,3148,3723,3848
302,7,2967,3875,6,9,2936,3000,3837,3926
303,7,3585,3494,6,10,3564,3608,3472,3520
304,6,2627,4229,6,7,2609,2648,4217,4246
305,6,2729,3889,6,8,2716,2744,3871,3910
306,6,2181,3499,6,9,2147,2225,3458,3538
307,6,2398,2858,6,8,2368,2428,2838,2879
308,7,1987,1158,6,9,1951,2021,1122,1202
309,8,2030,5437,7,12,1997,2067,5385,5493
310,9,2151,5146,8,11,2129,2169,5103,5198
311,10,2088,5589,9,13,2044,2131,5572,5614
312,8,2022,7123,7,11,2005,2045,7080,7168
313,9,1950,7171,7,12,1917,1974,7112,7221
314,8,2363,7414,6,11,2301,2423,7365,7467
315,9,3167,5507,8,12,3122,3207,5464,5552
316,8,4239,6247,7,11,4216,4258,6177,6308
317,6,973,6658,6,8,938,1010,6628,6686
318,5,1545,5150,5,8,1489,1609,5114,5179
319,6,3546,3757,6,8,3525,3569,3726,3786
320,6,3686,4165,6,8,3667,3711,4154,4185
321,9,1464,899,6,14,1405,1504,858,990
322,9,1559,1007,8,12,1512,1613,961,1043
323,9,1977,697,8,11,1905,2031,647,750
324,8,2599,812,8,11,2560,2645,767,857
325,11,2945,1118,9,14,2913,2977,1104,1137
326,11,2800,950,9,15,2746,2855,926,968
327,9,2611,1373,9,12,2591,2635,1339,1406
328,12,2452,1595,11,15,2420,2489,1569,1633
329,11,1148,4424,9,16,1063,1253,4379,4481
330,11,1009,4453,11,13,981,1042,4430,4474
331,9,791,3409,8,12,755,812,3354,3459
332,9,1139,3043,8,12,1104,1179,3016,3078
333,9,1265,2917,8,11,1245,1288,2874,2960
334,8,1029,2722,7,10,1000,1056,2678,2762
335,8,3523,3667,8,10,3490,3554,3624,3701
336,5,3478,4016,5,7,3462,3498,3993,4039
337,5,3529,4029,5,6,3516,3546,4018,4041
338,8,3787,3744,7,10,3754,3816,3718,3778
339,7,3372,4620,7,9,3342,3398,4567,4664
340,12,4333,4426,10,17,4266,4432,4378,4523
341,9,4379,4163,8,11,4322,4428,4113,4223
342,11,4460,4540,10,15,4392,4498,4496,4587
343,10,4124,4738,9,13,4088,4166,4687,4792
344,12,4248,3766,10,15,4225,4289,3720,3813
345,17,4194,4265,15,21,4134,4253,4228,4309
346,9,2004,1949,9,12,1972,2040,1928,1972
347,9,1700,1751,7,13,1684,1715,1704,1811
348,10,1755,4642,9,13,1716,1787,4582,4708
349,11,1831,4282,9,15,1744,1905,4219,4346
350,10,1775,4731,8,13,1740,1809,4703,4768
351,9,2737,4652,7,12,2713,2767,4618,4693
352,9,2655,5241,8,12,2598,2713,5224,5281
353,11,2770,5575,9,15,2702,2829,5518,5623
354,11,2702,5713,10,14,2660,2742,5680,5741
355,14,2981,5612,12,17,2946,3032,5578,5650
356,18,3184,6265,15,23,3126,3248,6227,6320
357,9,2869,5388,9,11,2825,2912,5348,5426
358,10,2697,6123,9,13,2655,2744,6070,6187
359,10,2509,6193,9,13,2485,2541,6151,6233
360,14,2547,6330,12,17,2510,2582,6283,6374
361,9,3234,7906,7,13,3204,3282,7818,8013
362,14,3241,7755,13,17,3228,3259,7731,7776
363,9,3407,7512,8,12,3360,3461,7473,7560
364,7,3504,7482,7,9,3476,3533,7451,7519
365,8,4522,7873,8,11,4497,4551,7815,7914
366,7,825,4889,7,9,803,848,4849,4934
367,9,1262,2544,8,12,1221,1304,2513,2562
368,9,2045,2433,8,13,2011,2074,2391,2476
369,8,3635,3979,8,9,3623,3652,3953,4006
370,11,2855,3988,10,14,2786,2922,3954,4023
372,8,3324,6964,8,11,3292,3355,6923,7011
373,13,3309,7334,12,15,3267,3357,7302,7382
374,13,2953,6824,10,17,2902,3009,6785,6876
375,15,2929,7132,13,19,2897,2969,7087,7176
376,12,2749,7028,12,14,2716,2781,6990,7065
377,7,3052,4060,7,10,3030,3080,4024,4103
378,10,2984,4574,9,13,2962,3005,4548,4604
379,10,641,1556,9,12,597,681,1513,1611
380,11,865,2272,8,16,809,927,2206,2338
381,9,1742,5676,9,12,1714,1767,5652,5711
382,8,1025,8034,8,10,996,1065,8005,8059
383,9,2071,6562,9,11,2034,2107,6518,6601
384,11,1964,4057,10,14,1915,2017,4025,4088
385,9,2075,3314,8,11,2054,2099,3285,3343
386,10,2325,3919,10,12,2287,2374,3869,3985
387,9,2166,905,8,12,2130,2205,878,940
388,11,2580,642,10,14,2562,2602,610,672
389,9,2425,4731,9,12,2399,2456,4706,4762
390,11,2609,3912,9,14,2563,2659,3897,3939
391,9,2643,3043,9,11,2615,2675,3033,3056
392,9,4214,5044,9,11,4197,4232,5018,5071
393,10,4435,5089,9,14,4391,4473,5053,5135
394,10,1143,3134,10,12,1113,1173,3091,3176
395,14,1101,3404,10,19,1062,1127,3302,3492
396,10,963,2862,10,12,922,1003,2846,2881
397,10,1426,4533,10,12,1392,1462,4518,4549
398,11,2244,1836,10,14,2229,2265,1807,1870
399,11,1630,1607,10,14,1603,1672,1530,1664
400,11,1431,5231,10,14,1385,1499,5157,5312
401,11,1724,6523,10,14,1683,1766,6506,6541
402,15,1587,6730,11,20,1525,1640,6658,6805
403,12,1430,8171,10,17,1366,1488,8061,8263
404,14,1694,8239,14,16,1672,1716,8195,8283
405,9,1947,8061,8,12,1914,1983,8038,8091
406,10,1442,7355,9,12,1400,1493,7313,7395
407,11,1919,7859,7,15,1832,1980,7809,7909
408,10,2243,8035,10,12,2216,2275,8011,8055
409,10,2345,7714,10,12,2323,2372,7678,7744
410,10,2238,6619,10,12,2201,2281,6580,6663
411,9,3191,6947,8,11,3133,3241,6887,7015
412,13,3814,7453,10,18,3773,3869,7427,7490
413,11,4108,7789,10,14,4044,4167,7765,7820
414,9,4679,7257,9,12,4621,4740,7208,7296
415,13,4863,7421,11,16,4832,4925,7367,7479
416,10,4862,7824,9,13,4828,4907,7780,7851
417,12,4823,7674,11,16,4744,4896,7607,7730
418,12,4515,6341,10,16,4478,4551,6286,6380
419,9,4259,4281,9,12,4233,4285,4251,4315
420,10,3375,4446,10,13,3350,3401,4414,4482
421,10,540,1742,9,13,498,582,1709,1773
422,13,860,1443,11,17,819,911,1399,1496
423,15,878,1624,14,19,820,921,1590,1670
424,12,1351,1200,11,16,1278,1437,1157,1251
425,11,1425,789,10,13,1394,1455,764,822
426,11,1915,904,10,13,1877,1958,859,935
427,11,2928,332,10,13,2905,2959,298,368
428,12,2846,226,12,13,2805,2889,217,240
429,10,2475,5065,10,13,2450,2507,5050,5083
430,14,2353,5068,14,17,2317,2396,5020,5111
431,14,2441,5204,14,17,2413,2474,5164,5246
432,15,2483,5382,14,19,2462,2503,5301,5433
433,10,2235,5456,10,12,2195,2294,5442,5483
434,11,2223,5625,10,14,2189,2266,5579,5667
435,10,2120,5787,9,14,2083,2159,5762,5821
436,9,2400,6356,9,12,2375,2432,6321,6399
437,18,1500,6580,17,21,1458,1539,6519,6637
438,15,1572,6891,15,18,1536,1617,6860,6934
439,15,1852,7288,15,17,1828,1884,7279,7300
440,15,2019,6723,15,17,1969,2073,6696,6752
441,14,1161,7479,14,17,1128,1198,7435,7512
442,12,1689,7354,11,14,1644,1732,7311,7389
443,15,1335,7438,14,17,1295,1373,7377,7488
444,12,1111,6959,11,16,1063,1140,6906,7003
445,15,984,7531,15,17,950,1010,7500,7569
446,15,920,7216,15,17,906,935,7188,7251
447,15,1077,7436,14,17,1052,1108,7391,7479
448,10,3446,6225,9,13,3406,3479,6176,6270
449,12,1482,3465,12,14,1443,1534,3407,3515
450,14,1728,3663,13,18,1684,1774,3624,3706
451,11,1592,4196,9,15,1560,1623,4169,4238
452,9,3383,5553,9,12,3360,3406,5527,5593
453,11,1025,881,11,13,995,1060,860,909
454,10,1283,2725,10,13,1259,1309,2707,2748
455,12,1367,2696,11,14,1336,1398,2667,2724
456,11,1649,5518,10,13,1604,1693,5478,5554
457,11,2036,5799,10,13,2020,2061,5771,5829
458,13,1007,6218,11,17,949,1073,6167,6255
459,10,1338,7822,9,12,1289,1392,7798,7864
460,10,1262,8246,10,13,1217,1300,8209,8298
461,11,1436,8474,11,12,1410,1467,8454,8501
462,12,3786,8053,11,15,3756,3820,7996,8107
463,11,3876,8181,11,13,3838,3913,8140,8223
464,13,4020,7947,12,16,3973,4070,7894,7989
465,16,3894,7686,15,20,3811,3953,7637,7722
466,11,4202,6459,10,13,4162,4233,6430,6490
467,13,4665,5608,12,17,4616,4719,5575,5660
468,12,3979,5186,10,16,3927,4030,5160,5221
469,14,3590,3955,12,20,3510,3678,3895,4024
470,15,3570,4224,11,21,3500,3667,4173,4262
471,12,2792,3752,11,15,2767,2838,3703,3800
472,15,2950,3555,14,19,2905,3004,3513,3605
473,13,3215,3345,11,18,3135,3284,3322,3377
474,12,1903,1720,10,15,1889,1927,1683,1760
475,15,2120,1372,12,20,2067,2173,1340,1410
476,11,1864,1465,11,13,1842,1887,1438,1499
477,11,2323,4338,10,13,2291,2364,4303,4386
478,13,1976,5064,11,18,1894,2058,5035,5089
479,13,734,2807,11,18,683,798,2755,2852
480,11,2473,6038,10,14,2446,2498,5994,6086
481,10,2342,6429,10,12,2320,2370,6407,6451
482,10,3249,8102,9,13,3207,3295,8071,8141
483,12,773,921,12,15,747,803,877,966
484,14,863,1147,12,17,807,930,1074,1183
485,13,1240,1167,12,16,1169,1312,1094,1239
486,12,1485,1534,12,15,1438,1538,1445,1605
487,13,1408,1342,12,16,1385,1429,1304,1378
488,11,1174,6820,11,13,1139,1202,6803,6835
489,13,2092,7774,12,16,2056,2138,7740,7814
490,12,2370,8085,12,14,2354,2388,8070,8104
491,14,2409,8402,12,16,2323,2479,8331,8455
492,11,3461,7652,11,14,3435,3493,7625,7678
493,12,4027,8124,12,14,3995,4059,8088,8164
494,11,3743,7798,11,13,3712,3781,7778,7823
495,12,4301,5043,12,14,4280,4324,5028,5058
496,14,3538,4629,12,19,3479,3575,4580,4691
497,13,3333,5185,12,16,3293,3373,5162,5217
498,14,2273,4669,12,17,2179,2370,4611,4731
499,12,2065,4148,12,14,2023,2104,4097,4201
500,14,1154,4079,13,17,1115,1203,4065,4102
501,14,1062,4310,13,17,1028,1103,4266,4350
502,18,1173,4647,17,22,1134,1203,4610,4697
503,17,1363,4406,17,19,1339,1398,4378,4430
504,17,1259,4828,17,20,1197,1311,4804,4858
505,21,1421,4582,19,25,1372,1477,4536,4631
506,14,2207,1750,12,17,2171,2255,1712,1776
507,13,2721,1244,12,15,2687,2753,1217,1268
508,11,3045,690,11,14,3013,3085,658,729
509,13,3049,764,13,14,3029,3074,745,782
510,13,1739,2078,12,15,1720,1767,2031,2132
511,13,2184,4938,12,17,2134,2243,4870,5000
512,13,1618,723,12,15,1593,1648,689,766
513,14,3904,4801,13,17,3871,3932,4775,4828
514,14,1674,5290,13,18,1643,1708,5241,5339
515,1,3394,4305,1,4,3373,3412,4282,4335
516,14,2263,3229,13,16,2219,2299,3187,3266
517,12,4144,7863,11,14,4116,4177,7850,7876
518,14,4525,4828,12,18,4484,4562,4801,4858
519,14,1519,4958,13,19,1453,1597,4888,4993
520,14,1536,5030,13,17,1495,1584,5013,5061
521,15,1307,5004,14,20,1219,1402,4959,5049
522,14,1612,2650,13,19,1550,1688,2584,2710
523,14,3942,7294,13,17,3896,3978,7254,7335
524,22,3772,7074,19,27,3725,3829,7034,7128
525,28,3776,7456,27,30,3756,3797,7423,7492
526,12,2677,6626,11,14,2659,2705,6600,6654
527,12,1051,731,11,14,1031,1068,709,764
528,13,903,914,13,15,880,924,895,936
529,13,2372,8594,13,16,2334,2401,8558,8637
530,14,1207,5518,14,16,1186,1242,5476,5564
531,14,1392,881,13,17,1366,1411,844,918
532,13,3967,6291,13,16,3925,4012,6265,6308
533,14,4265,7961,13,16,4229,4302,7935,7985
534,13,3313,6350,12,16,3290,3335,6312,6387
535,16,3289,6272,15,18,3277,3303,6241,6303
536,15,2535,5592,13,19,2471,2574,5552,5650
537,19,2331,5652,18,22,2305,2362,5615,5693
538,15,2140,5136,13,19,2118,2169,5083,5190
539,13,4017,8385,13,15,3985,4048,8356,8419
540,14,4059,8486,14,16,4038,4078,8456,8519
541,18,4223,8274,17,21,4179,4278,8230,8316
542,12,3302,7821,12,14,3282,3325,7801,7846
543,13,4693,3570,13,16,4641,4747,3532,3598
544,14,1811,2319,13,17,1775,1854,2272,2390
545,14,1312,4219,14,17,1294,1337,4208,4234
546,16,1662,4350,15,19,1615,1707,4305,4392
547,15,1947,3142,14,17,1914,1987,3107,3186
548,15,1849,3489,15,18,1834,1871,3439,3531
549,14,2535,3426,14,16,2506,2566,3385,3476
550,14,3280,5428,13,17,3244,3314,5408,5443
