labels,z,y,x,z_min,z_max,y_min,y_max,x_min,x_max
1,0,375,1514,0,3,335,417,1500,1531
2,0,512,1709,0,3,493,537,1691,1733
3,1,723,1809,0,4,692,757,1775,1845
4,0,1180,495,0,1,1160,1205,465,523
5,0,1263,1499,0,1,1255,1273,1467,1533
6,0,1277,1070,0,1,1268,1289,1049,1095
7,0,1221,2205,0,3,1195,1249,2178,2223
8,0,1084,2338,0,1,1043,1129,2322,2359
9,0,888,1706,0,1,822,953,1661,1749
10,0,1455,2169,0,1,1439,1469,2140,2201
11,0,1469,2317,0,3,1448,1487,2272,2359
12,2,1523,1253,0,6,1466,2065,1136,7267
13,1,363,3297,0,3,325,399,3264,3335
14,0,823,3471,0,2,798,845,3423,3513
15,1,630,3688,0,4,590,683,3657,3727
16,1,1540,3415,0,5,1469,1587,3352,3507
17,0,1185,3980,0,2,1134,1219,3909,4053
18,3,570,3409,0,7,549,604,3352,3462
19,1,1164,4259,0,4,1136,1196,4209,4319
20,0,743,4529,0,2,723,766,4500,4560
21,0,290,4908,0,3,214,338,4691,5439
22,0,366,5495,0,3,305,430,5465,5523
24,1,957,6501,0,5,923,991,6443,6561
25,2,1081,6257,0,6,987,1134,6191,6333
26,0,237,6811,0,1,214,259,6785,6841
27,0,198,7067,0,1,172,226,7057,7078
28,0,182,7439,0,1,173,194,7413,7466
29,1,295,7969,0,3,276,315,7931,8007
30,1,636,8235,0,4,618,651,8176,8294
31,0,739,7744,0,3,690,785,7674,7802
32,0,987,8122,0,3,967,1013,8090,8149
33,1,1176,8167,0,5,1119,1268,8088,8214
34,1,989,7255,0,4,957,1023,7205,7299
35,2,1174,7403,0,6,1132,1207,7323,7480
36,0,1514,7707,0,1,1500,1528,7655,7762
37,0,2140,8133,0,2,2097,2197,8115,8150
38,1,2241,8323,0,5,2208,2283,8274,8367
39,0,1243,7690,0,1,1213,1273,7681,7703
40,0,2148,7563,0,3,2126,2175,7525,7595
41,0,2536,7669,0,1,2506,2566,7653,7693
42,0,2680,7728,0,2,2642,2717,7705,7758
43,0,2544,8039,0,1,2533,2556,8016,8063
44,1,2896,8010,0,4,2866,2936,7932,8059
45,0,2834,7671,0,3,2810,2862,7644,7701
46,1,2880,7604,0,4,2860,2907,7568,7643
47,0,3159,6694,0,2,3100,3214,6674,6723
48,0,2911,6854,0,2,2885,2942,6843,6867
49,0,2695,6885,0,2,2649,2728,6827,6935
50,0,2735,6612,0,1,2714,2759,6604,6621
51,0,3503,6841,0,1,3481,3523,6813,6867
52,0,3721,6091,0,1,3687,3757,6080,6105
53,3,3502,5451,0,8,3438,3541,5365,5543
54,1,3413,5047,0,4,3357,3479,4987,5095
55,2,3940,4392,0,5,3917,3965,4340,4445
56,1,3909,3860,0,5,3884,3935,3807,3930
57,0,3556,4203,0,1,3519,3600,4168,4245
58,0,3380,3629,0,2,3329,3443,3584,3663
59,0,3202,3933,0,2,3174,3229,3909,3955
60,2,3201,3233,0,6,3103,3279,3196,3286
61,0,2756,3477,0,2,2721,2786,3450,3506
62,0,2637,3385,0,2,2608,2671,3352,3414
63,0,2764,3901,0,2,2736,2791,3866,3940
64,0,2646,3996,0,1,2612,2682,3975,4016
65,0,2809,4516,0,2,2772,2848,4485,4554
66,1,2606,4447,0,3,2552,2662,4407,4477
67,1,2534,3925,0,3,2499,2586,3882,3970
68,0,2565,5651,0,3,2521,2609,5618,5689
69,1,2440,5047,0,5,2383,2492,4979,5119
70,2,2366,5580,0,7,2332,2398,5491,5663
71,0,2372,5656,0,1,2358,2387,5621,5692
72,0,3074,543,0,1,3037,3113,532,555
73,1,2549,795,0,4,2523,2575,754,828
74,1,2272,761,0,3,2254,2293,700,817
75,0,2277,1328,0,3,2249,2312,1285,1364
76,2,2248,1489,0,6,2202,2294,1447,1523
77,1,2319,675,0,4,2285,2357,624,717
78,0,1851,1685,0,1,1827,1884,1669,1700
79,1,1995,2898,0,4,1954,2040,2819,3021
80,1,2095,3217,0,4,2053,2140,3143,3278
81,2,1748,3307,0,6,1716,1776,3229,3377
82,0,1765,4071,0,1,1755,1779,4032,4111
83,1,1910,4357,0,4,1870,1957,4334,4391
84,0,1996,4662,0,3,1956,2038,4618,4699
85,1,1720,5478,0,4,1696,1742,5416,5538
86,0,1600,6033,0,2,1584,1622,5994,6066
87,0,2315,6790,0,2,2298,2337,6762,6819
88,0,2382,6427,0,1,2360,2408,6403,6455
89,0,2299,6002,0,1,2261,2336,5981,6017
90,0,2282,6172,0,2,2262,2308,6141,6208
91,1,2277,4176,0,4,2234,2315,4133,4218
92,2,2954,3726,0,6,2933,2987,3686,3768
93,2,1383,5965,0,6,1363,1407,5916,6010
94,0,1821,5191,0,2,1801,1842,5176,5206
95,0,1782,5407,0,2,1767,1797,5386,5429
96,1,2066,7268,0,4,2025,2103,7229,7306
97,2,2248,5021,0,5,2208,2281,4987,5064
98,1,812,5213,0,5,725,884,5163,5286
99,2,945,4963,0,5,909,986,4911,5023
100,1,1458,6513,0,5,1420,1492,6483,6544
